Date;Nationality;Sex;Age;Population
1970-12-31;Foreigners;Female;42 years;11605
1970-12-31;Foreigners;Female;43 years;10578
1970-12-31;Foreigners;Female;44 years;10720
1970-12-31;Foreigners;Female;45 years;9900
1970-12-31;Foreigners;Female;46 years;9038
1970-12-31;Foreigners;Female;47 years;8260
1970-12-31;Foreigners;Female;48 years;7890
1970-12-31;Foreigners;Female;49 years;6744
1970-12-31;Foreigners;Female;50 years;6623
1970-12-31;Foreigners;Female;51 years;4701
1970-12-31;Foreigners;Female;52 years;3384
1970-12-31;Foreigners;Female;53 years;2931
1970-12-31;Foreigners;Female;54 years;2939
1970-12-31;Foreigners;Female;55 years;3206
1970-12-31;Foreigners;Female;56 years;3609
1970-12-31;Foreigners;Female;57 years;3449
1970-12-31;Foreigners;Female;58 years;3302
1970-12-31;Foreigners;Female;59 years;2875
1970-12-31;Foreigners;Female;60 years;3027
1970-12-31;Foreigners;Female;61 years;2683
1970-12-31;Foreigners;Female;62 years;2600
1970-12-31;Foreigners;Female;63 years;2540
1970-12-31;Foreigners;Female;64 years;2369
1970-12-31;Foreigners;Female;65 years;2257
1970-12-31;Foreigners;Female;66 years;2140
1970-12-31;Foreigners;Female;67 years;2025
1970-12-31;Foreigners;Female;68 years;2074
1970-12-31;Foreigners;Female;69 years;1843
1970-12-31;Foreigners;Female;70 years;1939
1970-12-31;Foreigners;Female;71 years;1725
1970-12-31;Foreigners;Female;72 years;1659
1970-12-31;Foreigners;Female;73 years;1456
1970-12-31;Foreigners;Female;74 years;1542
1970-12-31;Foreigners;Female;75 years;1322
1970-12-31;Foreigners;Female;76 years;1197
1970-12-31;Foreigners;Female;77 years;1112
1970-12-31;Foreigners;Female;78 years;1011
1970-12-31;Foreigners;Female;79 years;945
1970-12-31;Foreigners;Female;80 years;798
1970-12-31;Foreigners;Female;81 years;712
1970-12-31;Foreigners;Female;82 years;607
1970-12-31;Foreigners;Female;83 years;534
1970-12-31;Foreigners;Female;84 years;453
1970-12-31;Foreigners;Female;85 years and over;1615
1970-12-31;Foreigners;Female;Total;1035849
1971-12-31;Germans;Male;under 1 year;350908
1971-12-31;Germans;Male;1 year;370766
1971-12-31;Germans;Male;2 years;424658
1971-12-31;Germans;Male;3 years;460691
1971-12-31;Germans;Male;4 years;481215
1971-12-31;Germans;Male;5 years;497084
1971-12-31;Germans;Male;6 years;500304
1971-12-31;Germans;Male;7 years;512652
1971-12-31;Germans;Male;8 years;508274
1971-12-31;Germans;Male;9 years;490621
1971-12-31;Germans;Male;10 years;489080
1971-12-31;Germans;Male;11 years;472492
1971-12-31;Germans;Male;12 years;462862
1971-12-31;Germans;Male;13 years;442262
1971-12-31;Germans;Male;14 years;434153
1971-12-31;Germans;Male;15 years;418056
1971-12-31;Germans;Male;16 years;401972
1971-12-31;Germans;Male;17 years;401824
1971-12-31;Germans;Male;18 years;386888
1971-12-31;Germans;Male;19 years;390152
1971-12-31;Germans;Male;20 years;383167
1971-12-31;Germans;Male;21 years;392348
1971-12-31;Germans;Male;22 years;394410
1971-12-31;Germans;Male;23 years;368334
1971-12-31;Germans;Male;24 years;341627
1971-12-31;Germans;Male;25 years;313555
1971-12-31;Germans;Male;26 years;266292
1971-12-31;Germans;Male;27 years;365719
1971-12-31;Germans;Male;28 years;378605
1971-12-31;Germans;Male;29 years;370054
1971-12-31;Germans;Male;30 years;459125
1971-12-31;Germans;Male;31 years;495788
1971-12-31;Germans;Male;32 years;493947
1971-12-31;Germans;Male;33 years;466811
1971-12-31;Germans;Male;34 years;441880
1971-12-31;Germans;Male;35 years;439639
1971-12-31;Germans;Male;36 years;434136
1971-12-31;Germans;Male;37 years;409331
